,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
ExtraTreesClassifier,0.8367,0.2223,0.85,0.2409,0.8667,0.2211,0.9619,0.0513,0.9847,0.0306,2
AdaBoostClassifier,0.8333,0.1961,0.8833,0.1833,0.8167,0.2409,0.9571,0.0497,0.9257,0.1027,2
BaggingClassifier,0.8133,0.1881,0.8167,0.1893,0.85,0.2409,0.9524,0.0476,0.9288,0.1025,2
GaussianNB,0.81,0.1739,0.8167,0.2409,0.8833,0.1833,0.9571,0.0396,0.9776,0.029,2
RandomForestClassifier,0.7933,0.1775,0.85,0.1893,0.7833,0.2363,0.9476,0.0449,0.9804,0.0348,2
SVC,0.7871,0.1521,0.9,0.2134,0.7583,0.1805,0.9429,0.0356,0.9569,0.0982,2
KNeighborsClassifier,0.7867,0.1778,0.75,0.2267,0.8833,0.1833,0.9524,0.0369,0.974,0.0546,2
XGBClassifier,0.7767,0.1955,0.7667,0.2,0.8167,0.2409,0.9476,0.0449,0.9732,0.0379,2
GaussianProcessClassifier,0.7624,0.1992,0.75,0.2713,0.8583,0.1828,0.9476,0.0396,0.9739,0.0283,2
BernoulliNB,0.7398,0.1685,0.8333,0.2108,0.7183,0.2294,0.9286,0.0488,0.9804,0.0317,2
DecisionTreeClassifier,0.7133,0.195,0.7333,0.238,0.7667,0.2494,0.9333,0.0436,0.874,0.1204,2
GradientBoostingClassifier,0.6267,0.2715,0.6,0.2809,0.7167,0.3337,0.919,0.0524,0.8732,0.1618,2
LogisticRegression,0.6093,0.0875,0.9667,0.1,0.4536,0.0873,0.8429,0.0565,0.9802,0.0247,2
