,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
SVC,0.5399,0.1344,0.8267,0.1062,0.4188,0.1581,0.8336,0.0659,0.895,0.0652,2
ExtraTreesClassifier,0.5265,0.1749,0.45,0.1887,0.6717,0.148,0.9168,0.0269,0.9223,0.0633,2
GradientBoostingClassifier,0.5019,0.2031,0.4533,0.2517,0.6214,0.1996,0.9112,0.0316,0.9165,0.0545,2
RandomForestClassifier,0.4932,0.22,0.4167,0.2056,0.6283,0.2644,0.9149,0.027,0.9291,0.0527,2
GaussianProcessClassifier,0.4665,0.2418,0.4167,0.2414,0.5983,0.2952,0.9073,0.0324,0.8346,0.1011,2
KNeighborsClassifier,0.4407,0.1759,0.4133,0.2166,0.5538,0.1962,0.896,0.0258,0.8496,0.0644,2
XGBClassifier,0.434,0.1992,0.4,0.2049,0.5129,0.2311,0.8922,0.0338,0.9036,0.0567,2
BernoulliNB,0.4117,0.3035,0.3933,0.314,0.5078,0.3509,0.8999,0.0438,0.8221,0.0933,2
BaggingClassifier,0.3894,0.2395,0.36,0.2389,0.4594,0.272,0.8865,0.0379,0.8263,0.0959,2
LogisticRegression,0.3439,0.0737,0.91,0.1174,0.2142,0.0532,0.6049,0.0974,0.809,0.0911,2
DecisionTreeClassifier,0.3239,0.228,0.3133,0.2247,0.396,0.3098,0.8694,0.0465,0.8009,0.1323,2
GaussianNB,0.1655,0.1769,0.1033,0.113,0.45,0.4717,0.8941,0.0211,0.8333,0.086,2
AdaBoostClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8904,0.0072,0.6966,0.1266,2
