,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
SVC,0.4571,0.1151,0.7267,0.1737,0.3418,0.1063,0.8053,0.0602,0.8459,0.0821,2
LogisticRegression,0.3717,0.0967,0.5367,0.1418,0.288,0.0812,0.7978,0.0504,0.7915,0.0672,2
BaggingClassifier,0.3296,0.2097,0.2467,0.1707,0.5567,0.3215,0.8979,0.0306,0.7276,0.1165,2
KNeighborsClassifier,0.2993,0.1522,0.21,0.1096,0.6083,0.3497,0.8903,0.0314,0.7855,0.0864,2
RandomForestClassifier,0.2817,0.1353,0.2067,0.0987,0.535,0.3472,0.8847,0.0308,0.8192,0.0825,2
XGBClassifier,0.2786,0.1567,0.2067,0.1236,0.4583,0.2642,0.8847,0.0273,0.8164,0.0901,2
ExtraTreesClassifier,0.2728,0.1535,0.19,0.1165,0.6452,0.4016,0.8885,0.0408,0.8113,0.0892,2
GradientBoostingClassifier,0.255,0.1824,0.2033,0.1449,0.3667,0.2744,0.8809,0.028,0.8216,0.1008,2
GaussianProcessClassifier,0.1917,0.171,0.1233,0.1106,0.45,0.4153,0.8923,0.0266,0.8253,0.0882,2
DecisionTreeClassifier,0.1622,0.1553,0.1167,0.1067,0.2833,0.3055,0.8753,0.0269,0.7727,0.1153,2
AdaBoostClassifier,0.1063,0.1336,0.07,0.0862,0.2667,0.3887,0.881,0.0265,0.8172,0.0951,2
GaussianNB,0.0,0.0,0.0,0.0,0.0,0.0,0.881,0.0252,0.7638,0.0965,2
BernoulliNB,0.0,0.0,0.0,0.0,0.0,0.0,0.8904,0.0072,0.7188,0.0778,2
