id,title,realtime_start,realtime_end,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity
CPILFENS,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:06-06:00,50
CPILFESL,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:01-06:00,81
CPIMEDNS,Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:11-06:00,13
CPIMEDSL,Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:06-06:00,58
CPITRNNS,Consumer Price Index for All Urban Consumers: Transportation in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:14-06:00,3
CPITRNSL,Consumer Price Index for All Urban Consumers: Transportation in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:08-06:00,35
CPIUFDNS,Consumer Price Index for All Urban Consumers: Food in U.S. City Average,2/4/2024,2/4/2024,1/1/1913,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:04-06:00,48
CPIUFDSL,Consumer Price Index for All Urban Consumers: Food in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:02-06:00,67
CPIULFSL,Consumer Price Index for All Urban Consumers: All Items Less Food in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:14-06:00,9
CRICCUSMA02STM,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Costa Rica,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Costa Rican Colon,Costa Rican Colon,Not Seasonally Adjusted,NSA,2024-01-12 14:25:07-06:00,15
CSCICP03USM665S,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for United States,2/4/2024,2/4/2024,1/1/1960,11/1/2023,Monthly,M,Normalised (Normal=100),Normalised (Normal=100),Seasonally Adjusted,SA,2023-12-12 14:48:04-06:00,51
CUMFNS,Capacity Utilization: Manufacturing (SIC),2/4/2024,2/4/2024,1/1/1948,12/1/2023,Monthly,M,Percent of Capacity,% of Capacity,Seasonally Adjusted,SA,2024-01-17 08:27:08-06:00,24
CURRCIR,Currency in Circulation,2/4/2024,2/4/2024,8/1/1917,1/1/2024,Monthly,M,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-02-01 16:06:01-06:00,73
CURRDD,Currency Component of M1 Plus Demand Deposits,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2024-01-23 12:03:17-06:00,18
CURRNS,Currency Component of M1,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-01-23 12:03:16-06:00,19
CURRSL,Currency Component of M1,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2024-01-23 12:03:12-06:00,52
CUSR0000SA0L2,Consumer Price Index for All Urban Consumers: All Items Less Shelter in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:08-06:00,26
CUSR0000SA0L5,Consumer Price Index for All Urban Consumers: All Items Less Medical Care in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:13-06:00,6
CUSR0000SAC,Consumer Price Index for All Urban Consumers: Commodities in U.S. City Average,2/4/2024,2/4/2024,1/1/1956,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:09-06:00,23
CUSR0000SACE,Consumer Price Index for All Urban Consumers: Energy Commodities in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:10-06:00,19
CUSR0000SACL1E,Consumer Price Index for All Urban Consumers: Commodities Less Food and Energy Commodities in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:07-06:00,35
CUSR0000SAD,Consumer Price Index for All Urban Consumers: Durables in U.S. City Average,2/4/2024,2/4/2024,1/1/1956,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:07-06:00,44
CUSR0000SAF11,Consumer Price Index for All Urban Consumers: Food at Home in U.S. City Average,2/4/2024,2/4/2024,1/1/1952,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:02-06:00,66
CUSR0000SAF113,Consumer Price Index for All Urban Consumers: Fruits and Vegetables in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:06-06:00,27
CUSR0000SAF114,Consumer Price Index for All Urban Consumers: Nonalcoholic Beverages and Beverage Materials in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:24-06:00,4
CUSR0000SAH1,Consumer Price Index for All Urban Consumers: Shelter in U.S. City Average,2/4/2024,2/4/2024,1/1/1953,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:02-06:00,66
CUSR0000SAH2,Consumer Price Index for All Urban Consumers: Fuels and Utilities in U.S. City Average,2/4/2024,2/4/2024,1/1/1953,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:13-06:00,5
CUSR0000SAM2,Consumer Price Index for All Urban Consumers: Medical Care Services in U.S. City Average,2/4/2024,2/4/2024,1/1/1956,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:05-06:00,60
CUSR0000SAN,Consumer Price Index for All Urban Consumers: Nondurables in U.S. City Average,2/4/2024,2/4/2024,1/1/1956,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:09-06:00,24
CUSR0000SAS,Consumer Price Index for All Urban Consumers: Services in U.S. City Average,2/4/2024,2/4/2024,1/1/1956,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:07-06:00,32
CUSR0000SAS4,Consumer Price Index for All Urban Consumers: Transportation Services in U.S. City Average,2/4/2024,2/4/2024,1/1/1956,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:11-06:00,10
CUSR0000SAT1,Consumer Price Index for All Urban Consumers: Private Transportation in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:13-06:00,3
CUSR0000SEAE,Consumer Price Index for All Urban Consumers: Footwear in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:24-06:00,6
CUSR0000SEFV,Consumer Price Index for All Urban Consumers: Food Away from Home in U.S. City Average,2/4/2024,2/4/2024,1/1/1953,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:03-06:00,59
CUSR0000SEHE,Consumer Price Index for All Urban Consumers: Fuel Oil and Other Fuels in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:07-06:00,28
CUSR0000SEHF,Consumer Price Index for All Urban Consumers: Energy Services in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:08-06:00,23
CUSR0000SEHF01,Consumer Price Index for All Urban Consumers: Electricity in U.S. City Average,2/4/2024,2/4/2024,1/1/1952,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:03-06:00,60
CUSR0000SEHF02,Consumer Price Index for All Urban Consumers: Utility (Piped) Gas Service in U.S. City Average,2/4/2024,2/4/2024,1/1/1952,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:08-06:00,18
CUSR0000SETA01,Consumer Price Index for All Urban Consumers: New Vehicles in U.S. City Average,2/4/2024,2/4/2024,1/1/1953,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:05-06:00,60
CUSR0000SETA02,Consumer Price Index for All Urban Consumers: Used Cars and Trucks in U.S. City Average,2/4/2024,2/4/2024,1/1/1953,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:01-06:00,79
CUUR0000SA0L2,Consumer Price Index for All Urban Consumers: All Items Less Shelter in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:06-06:00,49
CUUR0000SA0R,Consumer Price Index for All Urban Consumers: Purchasing Power of the Consumer Dollar in U.S. City Average,2/4/2024,2/4/2024,1/1/1913,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:04-06:00,69
CUUR0000SAC,Consumer Price Index for All Urban Consumers: Commodities in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:16-06:00,3
CUUR0000SACL1E,Consumer Price Index for All Urban Consumers: Commodities Less Food and Energy Commodities in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:12-06:00,11
CUUR0000SAD,Consumer Price Index for All Urban Consumers: Durables in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:12-06:00,8
CUUR0000SAF11,Consumer Price Index for All Urban Consumers: Food at Home in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:07-06:00,20
CUUR0000SAF111,Consumer Price Index for All Urban Consumers: Cereals and Bakery Products in U.S. City Average,2/4/2024,2/4/2024,1/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:20-06:00,5
CUUR0000SAF114,Consumer Price Index for All Urban Consumers: Nonalcoholic Beverages and Beverage Materials in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:14-06:00,9
CUUR0000SAH1,Consumer Price Index for All Urban Consumers: Shelter in U.S. City Average,2/4/2024,2/4/2024,12/1/1952,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:08-06:00,21
CUUR0000SAH2,Consumer Price Index for All Urban Consumers: Fuels and Utilities in U.S. City Average,2/4/2024,2/4/2024,12/1/1952,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:10-06:00,12
CUUR0000SAM1,Consumer Price Index for All Urban Consumers: Medical Care Commodities in U.S. City Average,2/4/2024,2/4/2024,3/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:11-06:00,17
CUUR0000SAM2,Consumer Price Index for All Urban Consumers: Medical Care Services in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:10-06:00,21
CUUR0000SAS,Consumer Price Index for All Urban Consumers: Services in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:14-06:00,4
CUUR0000SAS4,Consumer Price Index for All Urban Consumers: Transportation Services in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:08-06:00,30
CUUR0000SASLE,Consumer Price Index for All Urban Consumers: Services Less Energy Services in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:10-06:00,15
CUUR0000SAT1,Consumer Price Index for All Urban Consumers: Private Transportation in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:14-06:00,6
CUUR0000SEAE,Consumer Price Index for All Urban Consumers: Footwear in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:10-06:00,16
CUUR0000SEFJ,Consumer Price Index for All Urban Consumers: Dairy and Related Products in U.S. City Average,2/4/2024,2/4/2024,1/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:11-06:00,18
CUUR0000SEFR,Consumer Price Index for All Urban Consumers: Sugar and Sweets in U.S. City Average,2/4/2024,2/4/2024,1/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:17-06:00,8
CUUR0000SEFV,Consumer Price Index for All Urban Consumers: Food Away from Home in U.S. City Average,2/4/2024,2/4/2024,1/1/1953,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:05-06:00,41
CUUR0000SEGA,Consumer Price Index for All Urban Consumers: Tobacco and Smoking Products in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:38:05-06:00,17
CUUR0000SEGB,Consumer Price Index for All Urban Consumers: Personal Care Products in U.S. City Average,2/4/2024,2/4/2024,3/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:38:06-06:00,9
CUUR0000SEGC,Consumer Price Index for All Urban Consumers: Personal Care Services in U.S. City Average,2/4/2024,2/4/2024,12/1/1952,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:38:11-06:00,5
CUUR0000SEHA,Consumer Price Index for All Urban Consumers: Rent of Primary Residence in U.S. City Average,2/4/2024,2/4/2024,12/1/1914,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:01-06:00,73
CUUR0000SEHE,Consumer Price Index for All Urban Consumers: Fuel Oil and Other Fuels in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:11-06:00,17
CUUR0000SEHF,Consumer Price Index for All Urban Consumers: Energy Services in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:23-06:00,5
CUUR0000SEHF01,Consumer Price Index for All Urban Consumers: Electricity in U.S. City Average,2/4/2024,2/4/2024,12/1/1913,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:12-06:00,9
CUUR0000SETA01,Consumer Price Index for All Urban Consumers: New Vehicles in U.S. City Average,2/4/2024,2/4/2024,3/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:04-06:00,65
CUUR0000SETA02,Consumer Price Index for All Urban Consumers: Used Cars and Trucks in U.S. City Average,2/4/2024,2/4/2024,12/1/1952,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:08-06:00,29
CUUR0000SETB,Consumer Price Index for All Urban Consumers: Motor Fuel in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:14-06:00,4
CUUR0000SETB01,Consumer Price Index for All Urban Consumers: Gasoline (All Types) in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:08-06:00,30
CUUR0000SETD,Consumer Price Index for All Urban Consumers: Motor Vehicle Maintenance and Repair in U.S. City Average,2/4/2024,2/4/2024,3/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:12-06:00,10
CUUR0000SETG,Consumer Price Index for All Urban Consumers: Public Transportation in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:12-06:00,12
CWSR0000SA0,Consumer Price Index for All Urban Wage Earners and Clerical Workers: All Items in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:08-06:00,31
CWUR0000SA0,Consumer Price Index for All Urban Wage Earners and Clerical Workers: All Items in U.S. City Average,2/4/2024,2/4/2024,1/1/1913,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:06-06:00,54
CWUR0000SA0R,Consumer Price Index for All Urban Wage Earners and Clerical Workers: Purchasing Power of the Consumer Dollar in U.S. City Average,2/4/2024,2/4/2024,1/1/1913,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:11-06:00,19
CWUR0000SAS,Consumer Price Index for All Urban Wage Earners and Clerical Workers: Services in U.S. City Average,2/4/2024,2/4/2024,3/1/1935,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:26-06:00,8
DDURRA3M086SBEA,Real personal consumption expenditures: Durable goods (chain-type quantity index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:28-06:00,12
DDURRAM1M225NBEA,Real Personal Consumption Expenditures: Goods: Durable goods,2/4/2024,2/4/2024,2/1/1959,12/1/2023,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2024-01-26 09:20:35-06:00,5
DDURRG3M086SBEA,Personal consumption expenditures: Durable goods (chain-type price index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:23-06:00,25
DDURRGM1M225SBEA,Prices for Personal Consumption Expenditures: Chained Price Index: Goods: Durable goods,2/4/2024,2/4/2024,2/1/1959,12/1/2023,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2024-01-26 09:20:37-06:00,5
DEMDEPNS,Demand Deposits,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-01-23 12:03:18-06:00,15
DEMDEPSL,Demand Deposits,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2024-01-23 12:03:13-06:00,41
DFXARA3M086SBEA,Real personal consumption expenditures: Food (chain-type quantity index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:32-06:00,4
DFXARAM1M225NBEA,Real Personal Consumption Expenditures: Food,2/4/2024,2/4/2024,2/1/1959,12/1/2023,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2024-01-26 09:20:33-06:00,5
DFXARC1M027SBEA,Personal consumption expenditures: Food,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:20-06:00,35
DFXARG3M086SBEA,Personal consumption expenditures: Food (chain-type price index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:25-06:00,15
DGDSRA3M086SBEA,Real personal consumption expenditures: Goods (chain-type quantity index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:33-06:00,8
DGDSRAM1M225NBEA,Real Personal Consumption Expenditures: Goods,2/4/2024,2/4/2024,2/1/1959,12/1/2023,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2024-01-26 09:20:34-06:00,9
DGDSRC1,Personal Consumption Expenditures: Goods,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:19-06:00,43
DGDSRG3M086SBEA,Personal consumption expenditures: Goods (chain-type price index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:23-06:00,28
DGDSRGM1M225SBEA,Prices for Personal Consumption Expenditures: Chained Price Index: Goods,2/4/2024,2/4/2024,2/1/1959,12/1/2023,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2024-01-26 09:20:35-06:00,5
DMANEMP,"All Employees, Durable Goods",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:51:07-06:00,18
DNDGRA3M086SBEA,Real personal consumption expenditures: Nondurable goods (chain-type quantity index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:29-06:00,7
DNDGRAM1M225NBEA,Real Personal Consumption Expenditures: Goods: Nondurable goods,2/4/2024,2/4/2024,2/1/1959,12/1/2023,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2024-01-26 09:20:37-06:00,4
DNDGRG3M086SBEA,Personal consumption expenditures: Nondurable goods (chain-type price index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:26-06:00,16
DNRGRAM1M225NBEA,Real Personal Consumption Expenditures: Energy goods and services,2/4/2024,2/4/2024,2/1/1959,12/1/2023,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2024-01-26 09:20:37-06:00,3
DNRGRC1M027SBEA,Personal consumption expenditures: Energy goods and services,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:21-06:00,34
DNRGRG3M086SBEA,Personal consumption expenditures: Energy goods and services (chain-type price index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:27-06:00,13
DPCCRA3M086SBEA,Real personal consumption expenditures excluding food and energy (chain-type quantity index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:30-06:00,4
DPCCRAM1M225NBEA,Real Personal Consumption Expenditures: PCE excluding food and energy,2/4/2024,2/4/2024,2/1/1959,12/1/2023,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2024-01-26 09:20:20-06:00,36
DPCCRC1M027SBEA,Personal consumption expenditures excluding food and energy,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:20-06:00,45
DPCCRGM1M225SBEA,Prices for Personal Consumption Expenditures: Chained Price Index: PCE excluding food and energy,2/4/2024,2/4/2024,2/1/1959,12/1/2023,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2024-01-26 09:20:25-06:00,18
DPCERA3M086SBEA,Real personal consumption expenditures (chain-type quantity index),2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,2024-01-26 09:20:23-06:00,25
