,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
LogisticRegression,0.4458,0.085,0.7067,0.1665,0.329,0.0645,0.8091,0.0352,0.7951,0.0784,2
SVC,0.4309,0.1121,0.7367,0.2137,0.3061,0.0771,0.7902,0.0398,0.8239,0.1122,2
BernoulliNB,0.3673,0.1387,0.4133,0.1668,0.3481,0.1526,0.8431,0.0453,0.7991,0.0914,2
GaussianProcessClassifier,0.3624,0.1805,0.2767,0.155,0.6683,0.3401,0.8941,0.038,0.7958,0.1258,2
ExtraTreesClassifier,0.3596,0.2173,0.2767,0.1874,0.5467,0.3048,0.9017,0.0264,0.7724,0.1179,2
RandomForestClassifier,0.3215,0.1805,0.26,0.1737,0.4967,0.2648,0.8885,0.0284,0.7844,0.0991,2
KNeighborsClassifier,0.3117,0.1757,0.2233,0.1283,0.5583,0.3334,0.8922,0.0305,0.7711,0.1036,2
BaggingClassifier,0.2647,0.2172,0.2467,0.2141,0.3067,0.2463,0.8753,0.0328,0.7478,0.1087,2
GaussianNB,0.2488,0.1214,0.2433,0.1739,0.3,0.135,0.8488,0.0346,0.7869,0.0912,2
DecisionTreeClassifier,0.2341,0.1573,0.2033,0.1449,0.29,0.1971,0.8696,0.026,0.662,0.1284,2
XGBClassifier,0.2226,0.2083,0.1733,0.1744,0.385,0.3795,0.8791,0.0359,0.7843,0.1046,2
GradientBoostingClassifier,0.2041,0.2333,0.16,0.1825,0.2917,0.34,0.8772,0.0369,0.7877,0.1201,2
AdaBoostClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8904,0.0072,0.7192,0.0659,2
