,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
ExtraTreesClassifier,0.9221,0.0643,0.8619,0.109,1.0,0.0,0.9534,0.0367,0.988,0.0202,1
XGBClassifier,0.9083,0.095,0.8929,0.1028,0.93,0.1077,0.9379,0.0647,0.9869,0.0181,1
LogisticRegression,0.8994,0.0613,0.9238,0.0766,0.8837,0.0893,0.9276,0.0477,0.9707,0.0276,1
BaggingClassifier,0.8973,0.0879,0.8452,0.1238,0.9657,0.0698,0.9379,0.0513,0.9811,0.0252,1
RandomForestClassifier,0.8945,0.0926,0.8619,0.1263,0.9417,0.0917,0.9329,0.0611,0.9881,0.022,1
AdaBoostClassifier,0.8805,0.0946,0.8286,0.1295,0.949,0.0789,0.9274,0.0581,0.9824,0.0256,1
GaussianProcessClassifier,0.8764,0.0753,0.8929,0.1369,0.8798,0.0923,0.9174,0.047,0.9167,0.0784,1
DecisionTreeClassifier,0.8657,0.075,0.85,0.1176,0.8955,0.0907,0.9121,0.0469,0.9157,0.0516,1
GradientBoostingClassifier,0.854,0.1012,0.8643,0.1413,0.8568,0.0988,0.9021,0.0624,0.9416,0.0684,1
KNeighborsClassifier,0.7926,0.1223,0.6976,0.1558,0.95,0.1067,0.8813,0.0693,0.9704,0.0307,1
SVC,0.7766,0.1552,0.7119,0.2007,0.8875,0.1237,0.8711,0.0837,0.9182,0.0714,1
GaussianNB,0.6261,0.0768,0.8357,0.1537,0.5105,0.0707,0.6642,0.0952,0.7823,0.1335,1
BernoulliNB,0.5721,0.1528,0.4786,0.141,0.7267,0.1841,0.7611,0.0887,0.783,0.0946,1
