,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
BernoulliNB,0.6448,0.2035,0.7,0.2449,0.6446,0.2524,0.8524,0.0864,0.8375,0.1479,2
ExtraTreesClassifier,0.634,0.2088,0.575,0.2512,0.8267,0.2389,0.881,0.0745,0.9228,0.0987,2
BaggingClassifier,0.6325,0.227,0.625,0.2795,0.68,0.2262,0.8714,0.0769,0.8353,0.1205,2
RandomForestClassifier,0.6299,0.2208,0.55,0.2693,0.8817,0.1984,0.8905,0.0675,0.8993,0.0946,2
GradientBoostingClassifier,0.618,0.2325,0.575,0.2969,0.8052,0.2392,0.8762,0.0883,0.8897,0.1095,2
DecisionTreeClassifier,0.616,0.2257,0.6,0.2784,0.7583,0.2699,0.8667,0.0819,0.8147,0.1186,2
XGBClassifier,0.5963,0.2243,0.575,0.2969,0.7133,0.2455,0.8667,0.0732,0.8846,0.0841,2
LogisticRegression,0.5826,0.1558,0.775,0.261,0.4855,0.1226,0.7952,0.0769,0.8882,0.1046,2
GaussianProcessClassifier,0.5761,0.1568,0.525,0.2077,0.765,0.2225,0.8619,0.0497,0.8809,0.09,2
AdaBoostClassifier,0.5699,0.2309,0.55,0.2915,0.7038,0.3126,0.8667,0.0513,0.7456,0.1288,2
KNeighborsClassifier,0.5689,0.2202,0.5,0.2739,0.78,0.2358,0.8714,0.0641,0.8588,0.103,2
SVC,0.5419,0.1402,0.65,0.2784,0.5823,0.2376,0.8,0.0791,0.875,0.0604,2
GaussianNB,0.5244,0.2588,0.525,0.325,0.6533,0.3135,0.8524,0.0688,0.9,0.095,2
