,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
AdaBoostClassifier,0.8497,0.1174,0.85,0.1658,0.8871,0.1488,0.9429,0.0467,0.9074,0.0802,2
XGBClassifier,0.837,0.1018,0.85,0.1658,0.8633,0.1416,0.9381,0.0372,0.9838,0.0202,2
ExtraTreesClassifier,0.8344,0.1113,0.8,0.1871,0.9217,0.1234,0.9429,0.0356,0.9868,0.0154,2
KNeighborsClassifier,0.8337,0.1291,0.8,0.1871,0.9017,0.1253,0.9429,0.0415,0.9485,0.0585,2
RandomForestClassifier,0.8302,0.0821,0.8,0.15,0.9083,0.1417,0.9381,0.0305,0.9824,0.0216,2
BaggingClassifier,0.8103,0.1023,0.85,0.1658,0.8188,0.164,0.9238,0.0436,0.9603,0.0594,2
SVC,0.7795,0.0936,0.875,0.1677,0.7493,0.1716,0.9048,0.0426,0.9809,0.0219,2
LogisticRegression,0.7766,0.1276,0.9,0.1658,0.7017,0.1403,0.9,0.0581,0.9765,0.0296,2
GaussianProcessClassifier,0.7703,0.2026,0.75,0.2739,0.8967,0.1301,0.9286,0.0488,0.9779,0.0317,2
GradientBoostingClassifier,0.7701,0.1628,0.775,0.2358,0.8488,0.1593,0.919,0.0479,0.9581,0.0529,2
DecisionTreeClassifier,0.7263,0.1416,0.75,0.1936,0.765,0.2145,0.8905,0.0641,0.8581,0.0895,2
GaussianNB,0.677,0.2831,0.625,0.301,0.78,0.3051,0.9095,0.0581,0.9779,0.0281,2
BernoulliNB,0.6124,0.2683,0.625,0.301,0.65,0.3,0.8714,0.0675,0.9353,0.0559,2
