,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
XGBClassifier,0.7831,0.162,0.7433,0.2246,0.8883,0.1414,0.9585,0.029,0.9691,0.0569,1
DecisionTreeClassifier,0.6957,0.1238,0.6833,0.1455,0.7353,0.1588,0.9357,0.0242,0.8427,0.0692,1
RandomForestClassifier,0.6881,0.1875,0.6167,0.2518,0.8833,0.119,0.9471,0.025,0.9848,0.0302,1
BaggingClassifier,0.679,0.1738,0.6,0.2305,0.8833,0.119,0.9452,0.0214,0.9813,0.0282,1
AdaBoostClassifier,0.6716,0.1756,0.5633,0.2307,0.95,0.1,0.947,0.0205,0.98,0.0328,1
GradientBoostingClassifier,0.6673,0.1283,0.62,0.1447,0.7558,0.189,0.932,0.0294,0.9621,0.0377,1
BernoulliNB,0.5383,0.1448,0.6833,0.1797,0.4602,0.16,0.8694,0.0439,0.9201,0.064,1
LogisticRegression,0.4907,0.147,0.67,0.2121,0.396,0.1246,0.8469,0.0522,0.815,0.1093,1
KNeighborsClassifier,0.4786,0.2422,0.38,0.2135,0.7233,0.3412,0.9187,0.0327,0.8274,0.1101,1
SVC,0.2702,0.0695,0.81,0.1892,0.1629,0.0441,0.5106,0.1006,0.7887,0.1132,1
GaussianNB,0.2564,0.033,0.9833,0.05,0.1478,0.0219,0.3668,0.0863,0.6453,0.0564,1
ExtraTreesClassifier,0.2005,0.2197,0.1367,0.1643,0.475,0.4802,0.9036,0.0155,0.9616,0.0385,1
GaussianProcessClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8904,0.0072,0.5,0.0,1
