,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
ExtraTreesClassifier,0.7918,0.1031,0.7367,0.1792,0.8957,0.108,0.9603,0.0178,0.9846,0.0265,1
XGBClassifier,0.7831,0.162,0.7433,0.2246,0.8883,0.1414,0.9585,0.029,0.97,0.0543,1
GradientBoostingClassifier,0.7367,0.1682,0.7867,0.2423,0.7395,0.1828,0.9414,0.0342,0.9361,0.1019,1
DecisionTreeClassifier,0.7196,0.1404,0.7367,0.2079,0.737,0.1485,0.9396,0.0301,0.8503,0.1029,1
RandomForestClassifier,0.7081,0.1877,0.6333,0.249,0.9083,0.1146,0.9508,0.0242,0.9843,0.0327,1
BernoulliNB,0.6757,0.1696,0.82,0.2023,0.5968,0.1978,0.913,0.0433,0.9433,0.0517,1
BaggingClassifier,0.6486,0.1005,0.6667,0.1726,0.6737,0.1525,0.9225,0.0229,0.8453,0.1083,1
LogisticRegression,0.3262,0.2163,0.3133,0.2301,0.3671,0.2339,0.8809,0.0253,0.809,0.102,1
SVC,0.24,0.0615,0.67,0.1509,0.1468,0.0397,0.5292,0.0646,0.5908,0.1107,1
GaussianNB,0.2365,0.0288,0.9833,0.05,0.1347,0.0186,0.2968,0.0867,0.6368,0.0926,1
KNeighborsClassifier,0.2162,0.2564,0.16,0.1954,0.3867,0.446,0.8922,0.0338,0.7914,0.119,1
AdaBoostClassifier,0.0742,0.0412,0.33,0.1923,0.0418,0.0232,0.1039,0.0977,0.2209,0.1418,1
GaussianProcessClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8904,0.0072,0.5,0.0,1
